Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,53,0.1282835827899898,52
55,150,0.05595934320463305,146
54,66,0.02917473799897466,54
53,38,0.03040459558931732,29
52,27,0.021071312897543326,23
51,118,0.016661138767115273,116
50,82,0.33283989801732694,73
49,135,0.03987631446212928,126
48,155,0.019631606616967195,139
47,197,0.013514541451145213,187
46,183,0.008870696457591806,155
45,49,0.01781367243960455,33
44,1217,0.011564479220200059,1209
43,143,0.017486341589995964,9
42,612,0.00391406102770275,610
41,68,0.020983107764148856,3
40,2,0.004881456562265747,1
39,2,,
38,2,0.00923804559825369,1
37,7,0.013080023685274214,5
36,28,,
35,2,,
34,12,0.014018136704923054,11
33,17,0.022349138104326587,15
32,12,0.023558037946556053,9
31,52,0.010293707109423794,22
30,10,0.012972544750860456,5
29,8,,
28,4,0.02093594453622048,3
27,12,0.04096379783031559,11
26,8,0.05790512206022701,6
25,60,,
24,7,,
23,2,,
22,1,,
19,1,,
16,1,,
