Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,50,,
55,144,6.697038254068143e-16,138
54,80,0.0010375800291084667,60
53,31,0.0002368836145706912,28
52,29,0.005396211541655093,24
51,114,0.024568131878624912,113
50,88,0.013459119210194525,76
49,130,0.7068044839710077,124
48,151,0.005778630126934314,133
47,209,0.3106126226525221,193
46,176,0.7717235700181729,154
45,55,0.8417792055432526,38
44,1207,0.6723435455046872,1204
43,149,0.25391807642256453,10
42,613,0.5549190563737646,612
41,67,1.0140418412890773,4
40,1,,
39,3,,
38,1,,
37,6,0.36291807031563716,4
36,29,,
35,3,,
34,12,,
33,14,1.442988352244154,13
32,15,0.7802956750951814,10
31,54,0.7739538507064535,25
30,6,0.9438106923695446,4
29,8,0.2065479613043964,7
28,6,1.4827880371375868,4
27,10,,
26,9,2.156402000212427,6
25,59,,
24,8,,
23,3,,
19,1,,
16,1,,
