Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,51,0.12987902123287212,50
55,147,0.05868892304309912,141
54,71,0.026248411734893756,54
53,40,0.028254059907328606,31
52,25,0.024549550846709952,23
51,111,0.016978083833031985,109
50,87,0.36238748893436307,71
49,142,0.03722007838231999,131
48,146,0.01895556459348806,135
47,206,0.012171104624095468,192
46,177,0.009616499960541189,154
45,54,0.015791189086673273,37
44,1216,0.01122695754538292,1212
43,142,0.013312665087365423,11
42,609,,
41,69,0.013842286028340913,3
40,2,0.0022689884398124083,1
39,3,,
38,1,,
37,5,0.018923436358384015,3
36,30,,
35,3,,
34,11,,
33,16,0.020305857921879007,14
32,14,0.02149557040748788,10
31,50,0.009848039306932123,21
30,9,0.017893495723202795,3
29,11,0.007436651704977475,9
28,4,,
27,11,,
26,8,0.04910760443939319,6
25,61,,
24,6,,
23,3,,
19,1,,
16,1,,
