Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,50,,
55,147,0.09050346458576991,141
54,73,0.05337758064500643,56
53,35,0.05150658207903492,28
52,27,0.06936140292959797,22
51,111,0.04736879568509681,108
50,94,0.12924261397335532,77
49,131,0.09499202972282758,126
48,152,0.058529706378069264,136
47,198,0.04580644456564059,185
46,182,0.03128656567662049,152
45,57,0.04664573768894694,38
44,1219,0.03176974796259547,1216
43,137,0.041037375402689875,10
42,613,0.026982871320233283,612
41,67,0.34683910777474064,4
40,1,,
39,3,,
38,1,,
37,7,0.02350327344686241,5
36,28,,
35,3,,
34,12,,
33,16,0.10531566792614216,15
32,12,0.07516264018265378,9
31,52,0.035282905451776876,22
30,10,0.058929160125044636,5
29,8,,
28,4,0.11329212108417736,3
27,12,0.12762071988927765,11
26,7,0.1870801870502486,5
25,60,0.13177658004215265,59
24,8,,
23,3,,
19,1,,
16,1,,
