Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,48,0.12180276595744681,47
55,155,0.02682945205479452,146
54,68,0.007553898696428571,56
53,38,0.001132034461290321,31
52,23,0.003975833252380946,21
51,118,0.015918749807017542,114
50,82,0.24024021011126762,71
49,140,0.07407166942635658,129
48,149,0.01610939691911765,136
47,199,0.045282221333333324,186
46,188,0.004444671934591195,159
45,52,0.028642607924999987,40
44,1208,0.015531894633802818,1207
43,144,0.026028700750000005,8
42,617,0.0007290743688925075,614
41,65,0.013227434999999996,4
40,1,,
39,1,,
38,3,0.0004950010000000019,1
37,6,0.00034911950000000337,4
36,29,,
35,3,,
34,9,,
33,18,0.06395714214285712,14
32,12,0.16463592024999998,8
31,55,0.019877254041666646,24
30,7,0.001798250250000015,4
29,8,0.007811719142857154,7
28,6,0.03010895999999992,4
27,11,,
26,6,0.059575,4
25,62,0.045785732133333396,60
24,7,,
23,3,,
19,1,,
16,1,,
