Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,51,,
55,148,0.08400089197309384,143
54,75,0.061265554128147014,60
53,31,0.04769664724696714,28
52,26,0.06772696395519241,21
51,116,0.05607571207055087,112
50,85,0.25587513727949834,72
49,139,0.0701925766912775,129
48,148,0.04757848995495203,135
47,207,0.04240114142246226,193
46,179,0.040325434856835506,157
45,52,0.04687937838361441,38
44,1208,0.01735634687243448,1205
43,148,0.028087194984150608,10
42,605,0.02881505853489171,604
41,74,0.05147659142827159,3
40,2,0.053715956248482785,1
39,1,,
38,3,0.018960282510823705,1
37,7,0.19400947318966566,5
36,28,,
35,3,,
34,13,,
33,15,,
32,11,0.23539846304796774,8
31,55,0.054219808864032965,24
30,7,0.060512282389941885,4
29,9,0.05835036678408122,8
28,3,0.006790761087293963,2
27,15,0.10406448820613988,13
26,6,,
25,59,,
24,8,,
23,2,,
22,1,,
19,1,,
16,1,,
