Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,50,,
55,148,0.47467357354094114,142
54,72,0.4483405919590537,56
53,37,0.46608822359984187,30
52,26,0.47411678365522053,23
51,116,0.45550973067708944,114
50,85,0.7200637575289716,74
49,131,0.3836575735565929,123
48,157,0.3777332177656565,138
47,210,0.3779048667029797,199
46,172,0.3829356067035248,156
45,49,0.3612303493132866,34
44,1214,0.34676515776063316,1207
43,147,0.36890387709495037,11
42,600,,
41,79,0.47875642028543475,4
40,1,,
39,3,,
38,1,,
37,7,0.2657401345145798,5
36,28,,
35,3,,
34,11,,
33,17,0.42974279650299224,15
32,13,0.3093947279314541,10
31,52,0.2633466987893086,23
30,9,0.2641757757490999,5
29,8,,
28,5,0.35779111535475017,4
27,13,,
26,5,,
25,56,0.2723000774200742,55
24,12,,
23,3,,
19,1,,
16,1,,
