Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,52,,
55,147,0.0934664494077396,143
54,72,0.049256085614514694,57
53,36,0.04398189919419994,30
52,24,0.02912899399814117,21
51,122,0.04987595492676456,118
50,82,0.13238049609047003,75
49,134,0.06275924230028634,127
48,151,0.06259806924007467,136
47,203,0.05274669636549408,190
46,181,0.0393294347639337,156
45,51,0.03716589671130928,36
44,1217,0.03716838436050503,1212
43,138,0.03746156011296213,7
42,604,0.0318109398627487,600
41,79,0.12660610881453577,4
40,1,,
39,2,,
38,2,0.016704675519868026,1
37,6,0.2059058228569723,4
36,29,,
35,3,,
34,10,,
33,18,0.07413400927350468,15
32,12,0.0871592435995731,9
31,54,0.04967374393105284,24
30,8,0.0678936523221584,5
29,9,,
28,3,,
27,13,0.08351093278076799,12
26,6,0.16670228692916195,5
25,58,0.12480614429234804,57
24,10,,
23,2,,
22,1,,
19,1,,
16,1,,
