Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,50,,
55,144,0.436554568794114,138
54,79,0.43818050000067005,59
53,34,0.45002521836140547,30
52,27,0.46547008901078685,24
51,110,0.4358183972517145,109
50,90,0.6137354688378809,74
49,133,0.3293040048765988,125
48,157,0.35273201373949215,140
47,205,0.35550830138839623,196
46,168,0.4253255532209611,149
45,58,0.41191096131075117,36
44,1196,0.40167744291074253,1191
43,162,0.40775093811848795,10
42,619,0.4226291939080774,618
41,61,0.5864326261942368,4
40,1,,
39,3,,
38,1,,
37,6,0.38767489263530364,4
36,29,,
35,2,,
34,13,0.4477454419645208,12
33,16,0.257053839380145,15
32,11,0.4645497612560541,8
31,55,0.30446704670679253,24
30,7,0.2832950600599009,4
29,10,0.3742390570319006,9
28,4,,
27,12,,
26,6,0.8921873404250164,5
25,67,0.33872885611212966,66
24,1,,
23,3,,
19,1,,
16,1,,
