Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,52,,
55,146,0.014679739436619718,142
54,74,0.02888455225862068,58
53,37,0.005064805446875004,32
52,21,0.001967813564999998,20
51,117,0.00886574524107143,112
50,89,0.2984178975513158,76
49,130,0.08782318907258062,124
48,146,0.022461706906250007,128
47,224,0.037471094541871905,203
46,162,0.00416514728288889,150
45,56,0.03103374648571427,35
44,1207,0.03022788547293922,1201
43,152,0.008017637400000012,10
42,611,0.0006589879497267745,610
41,68,0.041707450000000014,3
40,2,7.999999999999674e-05,1
39,3,,
37,7,0.0014285017500000018,4
36,29,,
35,3,,
34,12,,
33,17,0.05948582312499994,16
32,10,0.132200762,8
31,55,0.009970686458333303,24
30,7,0.0012744225000000005,4
29,9,0.014763856500000044,8
28,5,0.16752249999999977,4
27,13,,
26,6,,
25,61,,
24,6,,
23,3,,
19,1,,
16,1,,
