Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,49,,
55,152,0.0545488275862069,145
54,69,0.054099671982142855,56
53,34,0.040432431196296297,27
52,30,0.025757191108333334,24
51,120,0.02182156059932773,119
50,83,0.8556906947974027,77
49,134,0.27577747624651167,129
48,140,0.17364892077889763,127
47,211,0.1304916164102434,189
46,184,0.05183554634428355,158
45,51,0.07175530167978945,38
44,1213,0.06303158048534215,1210
43,144,0.0741640684,11
42,599,,
41,80,0.08067257799999995,4
40,1,,
39,3,,
38,1,,
37,6,0.06586217330000001,4
36,29,,
35,2,,
34,13,0.14373710759333336,12
33,17,0.3818817407325,16
32,11,0.10358311933244442,9
31,52,0.1427976285109091,22
30,10,0.214523824144,5
29,7,,
28,6,0.23396010045999993,4
27,10,,
26,9,1.449320456,6
25,60,,
24,7,,
23,2,,
22,1,,
19,1,,
16,1,,
