Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,52,,
55,150,0.49002121661567033,146
54,68,0.46697751810458116,56
53,33,0.47656352952106096,26
52,31,0.49790116757155745,24
51,116,0.4780088609111,115
50,84,0.6443827738963211,74
49,135,0.3650187132087014,127
48,149,0.39666880068276444,134
47,206,0.3839696942612825,191
46,179,0.41356549486692196,155
45,52,0.38882142757661736,36
44,1226,0.3966214943583896,1221
43,132,0.375992368558205,10
42,592,0.4046863759546365,591
41,88,0.4739535811406217,4
40,1,,
39,3,,
37,8,0.29843727745803306,5
36,28,,
35,3,,
34,11,,
33,16,0.43749901210400216,14
32,11,0.27497109843394085,7
31,56,0.2760717349345201,24
30,8,0.2602182291004749,5
29,9,,
28,3,,
27,12,0.26784426758183916,11
26,7,0.6308755878931117,5
25,61,0.27045529923813766,60
24,7,,
23,3,,
19,1,,
16,1,,
