Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,53,0.12563557692307692,52
55,143,0.49033611487452733,139
54,78,0.46515141123743436,59
53,30,0.4779691551788503,26
52,27,0.49304137806078074,20
51,116,0.47676126791381584,111
50,85,0.6450499885984494,71
49,143,0.37098054385995527,132
48,144,0.37066655698044104,134
47,212,0.38032563129782615,197
46,173,0.40833242835766353,155
45,54,0.3915309986845808,38
44,1204,0.39938807370827245,1201
43,152,0.3750477613744335,10
42,616,0.40741322862202495,615
41,64,0.4661983200174825,4
39,4,0.42215251867039694,3
38,1,,
37,7,0.31126041714513386,5
36,28,,
35,2,,
34,13,0.40430320996933605,12
33,15,0.44646869355204016,14
32,12,0.34739553770136883,8
31,55,0.2655669988161825,24
30,7,0.3277839557261955,4
29,9,0.3623447884481715,8
28,4,0.272555019548934,3
27,11,0.3147724606104161,10
26,9,0.6631975746821757,6
25,61,,
24,6,,
23,2,,
22,1,,
19,1,,
16,1,,
