Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,53,0.1313781346153846,52
55,144,0.023302214285714284,140
54,75,0.012575604684210526,57
53,38,0.007298867946874999,32
52,22,0.006922111633333333,21
51,122,0.01655920183898305,118
50,79,0.31613408083194444,72
49,138,0.08153650555468751,128
48,147,0.018704436812030073,133
47,215,0.03108924387437185,199
46,160,0.0033506401310185196,144
45,66,0.01768487548717948,39
44,1208,0.01890505423161968,1206
43,147,0.005835120799999998,10
42,606,0.0006958266820936645,605
41,74,0.06236260000000001,4
40,1,,
39,3,,
38,1,,
37,7,0.00094899400000001,5
36,28,,
35,3,,
34,13,,
33,13,,
32,14,0.012655251000000025,9
31,54,0.01584988629166667,24
30,8,0.00068,5
29,8,,
28,4,0.03526534666666652,3
27,14,0.018349735646153838,13
26,6,,
25,57,,
24,10,,
23,3,,
19,1,,
16,1,,
