Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,53,1.4371815621255353,52
55,144,0.3681515246578273,140
54,76,0.13487666828520217,58
53,34,0.2436661224124024,29
52,26,0.20065130075069895,22
51,116,0.18647113141572433,113
50,87,0.35080116844980047,75
49,131,0.15035500799004778,124
48,157,0.15021584353067172,139
47,202,0.10029831552245991,192
46,182,0.0912037551668614,159
45,51,0.07503005652797555,39
44,1207,0.10094874126305033,1205
43,148,0.08286125653326136,10
42,604,0.05876730905744752,603
41,75,0.6199924032933263,3
40,2,0.23222922542500346,1
39,3,,
38,1,,
37,6,,
36,27,0.10512093510711228,26
35,4,0.24635271827484173,1
34,13,0.4091315928546315,8
33,17,1.9992704470650846,5
32,11,0.6952847861696303,9
31,55,0.05227055103558271,29
30,7,,
29,8,0.17243648586990495,5
28,5,,
27,12,0.061284552249607105,4
26,7,,
25,67,0.6204068172572865,3
23,3,,
19,1,,
16,1,,
