Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,50,0.2844346649701216,49
55,156,0.08192751641575477,149
54,63,0.14343377329467283,54
53,38,0.0285005147942415,29
52,26,0.05043579444921861,22
51,110,0.023785916794733002,107
50,86,8325641.176810224,68
49,135,0.014516484330871585,121
48,157,87.29158379689031,136
47,215,7172.20130288422,202
46,165,434.8204202393536,152
45,57,156.71315772776464,38
44,1205,16.029777097962445,1202
43,152,517.5012932041508,11
42,618,,
41,61,280.1762462661272,4
40,1,,
39,3,,
38,1,,
37,6,,
36,26,10.307536757434482,25
35,6,437.8050073775822,2
34,12,78.79264115267796,8
33,17,58.093933976425795,5
32,11,141.6392927853996,9
31,54,9.506420881004033,28
30,8,,
29,9,219.1897063144602,6
28,4,,
27,13,15.55639157997943,5
26,6,,
25,67,22.27089808226496,3
23,3,,
19,1,,
16,1,,
