Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,49,,
55,145,1.83991308501285e-15,138
54,78,3.8436686783574384e-15,58
53,32,7.545404630322824e-16,27
52,30,9.575673587391975e-16,24
51,114,2.5490917145043972e-15,113
50,91,0.00012598441355210206,79
49,131,0.02476624848374875,128
48,148,0.049941937675638655,134
47,199,0.0227835827961207,184
46,188,0.07384040645786531,157
45,51,0.41885042873963285,37
44,1215,0.23959423153141562,1211
43,142,0.22033586114490958,10
42,609,0.23213039527289742,608
41,71,0.2829969951482683,4
40,1,,
39,3,,
38,1,,
37,7,,
36,25,,
35,6,0.40594869819625956,2
34,12,0.6033091517969157,8
33,16,4.258330001860406,4
32,13,0.6521548744218276,10
31,55,0.22548749859292852,30
30,6,,
29,8,0.09474320074286129,5
28,5,,
27,11,0.4828871059677113,3
26,8,,
25,67,0.2135810894231015,3
23,3,,
19,1,,
16,1,,
