Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,51,0.8471413110051249,49
55,149,0.4518984364015307,142
54,73,0.5153097217307725,57
53,35,0.5539535036741154,29
52,26,0.22016164353888035,22
51,115,0.46072678022280017,112
50,84,1.3328354620224716,71
49,142,0.3875501689947598,131
48,144,0.547333455980251,133
47,211,0.33215139340108313,195
46,173,0.3424313598602614,153
45,56,0.236178983384947,38
44,1215,0.21488027447562094,1212
43,141,0.19590610010279425,10
42,607,0.1513690570048235,606
41,73,0.1237598961081926,4
39,4,0.06983935523163091,3
38,1,,
37,6,,
36,25,0.1731788509709698,24
35,7,0.3206526549086476,2
34,12,0.1559819685021353,8
33,17,2.6670606514591815,5
32,11,0.5652940548807067,9
31,55,0.09995086005854736,29
30,7,,
29,9,0.29091113346757436,6
28,4,,
27,13,0.7105988461013951,5
26,6,,
25,67,0.37587485198535076,3
23,3,,
19,1,,
16,1,,
