Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,52,,
55,145,0.18499010299551613,141
54,76,0.15653132165751057,59
53,35,0.10398880125512962,31
52,26,0.2595023080014483,24
51,115,0.11006788351240368,114
50,85,0.27840596897896486,74
49,137,0.15942719851048198,129
48,150,0.12065969692613346,137
47,203,0.12991804525540643,191
46,180,0.06764721079230793,156
45,47,0.12731994833258356,32
44,1222,0.08160189813718403,1213
43,139,0.10171838345077974,9
42,595,0.06276075226549128,593
41,86,0.19545925298961547,4
40,1,,
39,3,,
38,1,,
37,6,,
36,28,0.12610071301318238,27
35,3,0.19103299721960154,1
34,14,0.3440615266505174,9
33,15,2.541106867498539,4
32,12,0.6450346736361215,9
31,56,0.04726606313974399,30
30,6,,
29,9,0.17381583427434064,6
28,4,,
27,12,0.15076523063882358,4
26,7,,
25,67,0.5743129138073197,3
23,3,,
19,1,,
16,1,,
