Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,52,,
55,140,0.06242647058823529,136
54,79,0.02017543859649122,57
53,37,0.041290322580645106,31
52,26,0.027916666666666774,24
51,118,0.01948717948717949,117
50,83,0.013506667066666669,75
49,133,0.03860298777777779,126
48,153,0.07488961824817522,137
47,207,0.012376427282051324,195
46,174,0.010943972857142898,154
45,54,0.012964275405405446,37
44,1218,0.005094661235584913,1214
43,139,2.1094237467877973e-16,10
42,598,0.0022071891792297383,597
41,82,0.0,4
40,1,,
39,2,,
38,2,2.220446049250313e-16,1
37,5,,
36,25,2.9927751098591176e-16,23
35,7,3.3306690738754696e-16,1
34,14,0.003418860000000005,9
33,15,2.25268025,4
32,12,0.04934560000000036,9
31,55,2.6032815749831255e-16,29
30,7,,
29,8,7.327471962526033e-16,5
28,5,,
27,13,8.881784197001253e-17,5
26,6,,
25,67,7.401486830834377e-17,3
23,3,,
19,1,,
16,1,,
