Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,53,0.645204081632653,49
55,153,0.816499151704284,146
54,68,0.8594089886392351,56
53,38,0.9195368076053413,31
52,25,0.8504198130709225,23
51,120,0.672376070722001,118
50,84,0.7319057613779997,77
49,134,0.6851883124668006,129
48,144,0.7208198054118621,131
47,216,0.809828335888576,198
46,167,0.8365494985906823,150
45,61,0.8567073501996206,40
44,1199,0.6992852783355941,1198
43,156,0.7962706071164902,11
42,612,,
41,67,0.4228703673948166,4
39,3,0.7876179973945008,2
38,2,0.7268412546319996,1
37,7,,
36,23,,
35,8,0.9112279355848772,2
34,12,0.767231065453775,8
33,17,2.8006453068993453,5
32,12,0.6734462368275017,10
31,48,0.4189429105282849,23
30,13,,
29,9,0.779403053394045,6
28,4,,
27,12,0.3798592250807685,4
26,7,,
25,67,1.0074167448830602,3
23,3,,
19,1,,
16,1,,
