Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,50,1.41435957314471,49
55,141,0.6405309483700593,134
54,82,0.3887002270880405,58
53,37,0.3055891871486168,32
52,24,0.3404474177385417,23
51,115,0.37692229665724997,113
50,87,0.36707423509549847,75
49,141,0.3493316317208886,134
48,145,0.39250254823457137,137
47,202,0.26632863368721377,190
46,180,0.2446386597381056,155
45,51,0.24848172972581745,35
44,1218,0.28752399301297626,1212
43,141,0.20500162864570354,10
42,604,0.1849654610263797,603
41,75,0.40478456095374676,3
40,2,0.24053194717252777,1
39,3,,
38,1,,
37,6,,
36,28,0.2658086876711765,27
35,4,0.4435436282154082,2
34,12,1.3161290016915002,8
33,16,3.0495606957912478,4
32,13,0.46415423865269484,10
31,52,0.1291099028303959,27
30,9,,
29,8,0.1172172633709305,5
28,5,,
27,12,1.016811182761925,4
26,7,,
25,67,0.20305881403367496,3
23,3,,
19,1,,
16,1,,
