Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,53,1.417168114072028,52
55,143,0.6150845917047272,139
54,76,0.44148312175356125,57
53,35,0.41302087178794544,29
52,26,0.40356460810632394,22
51,119,0.3301834102433986,116
50,87,0.5244858896923532,78
49,130,0.5128067422852136,126
48,152,0.3582566759475,136
47,208,0.29415725734486986,195
46,174,0.36529270803432246,154
45,54,0.26211564192498854,37
44,1216,0.2767390775809638,1212
43,140,0.23026831647148513,9
42,600,0.2018420224602889,598
41,81,0.22416662214742983,4
40,1,,
39,2,,
38,2,0.4038307431943027,1
37,7,,
36,22,,
35,9,0.08301705528198378,2
34,12,0.39855866356435793,8
33,17,2.8063222045518037,5
32,12,0.4282930943644909,10
31,54,0.08842510673133476,29
30,7,,
29,9,0.2903706630099076,6
28,4,,
27,12,0.3283955808053026,4
26,7,,
25,67,0.24705749814718794,3
23,3,,
19,1,,
16,1,,
