Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,50,,
55,152,0.30964285714285716,146
54,65,0.36833810646900267,53
53,39,0.40451216224094205,29
52,27,0.5805778083816199,23
51,112,0.31237022637910866,110
50,88,0.34083739792266665,73
49,137,0.4370633318885521,128
48,153,0.5861118831868496,139
47,205,0.43729210620442444,195
46,175,0.4449324016439221,155
45,52,0.421291914702582,36
44,1217,0.2500816002960373,1212
43,141,0.2842263140955111,10
42,601,0.2613611734519623,600
41,79,0.29735251350839875,4
40,1,,
39,3,,
38,1,,
37,5,,
36,28,0.364959970802714,26
35,5,0.28330206424015314,2
34,12,0.69375,8
33,17,3.6030519445863627,5
32,11,0.6949656297779457,9
31,53,0.23296249624059082,27
30,9,,
29,8,0.1973962433260343,5
28,5,,
27,13,0.4808896724377636,5
26,6,,
25,67,0.22326775072076363,3
23,3,,
19,1,,
16,1,,
