Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,51,,
55,146,0.051914893617021264,141
54,71,0.03074074074074074,54
53,39,0.03766666666666665,30
52,25,0.03045454545454553,22
51,113,0.025090909090909084,110
50,91,0.01477631618421053,76
49,129,0.03261749756097563,123
48,154,0.06702924696296299,135
47,208,0.015211961185567042,194
46,178,0.017451437898089204,157
45,51,0.010264864594594664,37
44,1213,0.004295747154673345,1209
43,142,2.220446049250313e-16,8
42,610,0.0010796049588141057,607
41,72,0.0,4
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,2.220446049250313e-16,2
34,13,0.06602921333333334,9
33,16,2.2121442,5
32,12,0.048000000000000334,10
31,55,2.220446049250313e-16,30
30,6,,
29,7,8.326672684688674e-16,4
28,6,,
27,13,8.881784197001253e-17,5
26,6,,
25,66,5.551115123125783e-17,2
24,1,,
23,3,,
19,1,,
16,1,,
