Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,53,0.39497361889274607,52
55,147,0.059742070358073815,143
54,70,0.03777826988768883,55
53,39,0.040130705316160115,31
52,25,0.09872093727254165,23
51,111,0.03697033373023838,109
50,93,0.039932675533959405,77
49,128,0.04520028892955743,123
48,144,0.05659721719463108,125
47,221,0.041320797754464546,197
46,176,0.037864638639687906,158
45,52,0.04214459045036439,39
44,1209,0.02561057548709124,1207
43,146,0.02600968047279712,10
42,611,0.02332790811334126,610
41,69,0.005553019713056329,4
40,1,,
39,3,,
38,1,,
37,6,,
36,27,0.044753127574675554,26
35,5,0.0586519378207781,2
34,12,0.2943930854882635,8
33,16,2.6655598314347233,4
32,12,0.6733613864751037,9
31,54,0.024394728724683273,28
30,8,,
29,8,0.20818498008081604,5
28,5,,
27,13,0.27971689755145823,5
26,6,,
25,67,0.43659229655908777,3
23,3,,
19,1,,
16,1,,
