Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,53,,
55,142,0.053300525914723604,139
54,76,0.03226373055517895,57
53,37,0.039236382865454646,31
52,25,0.09736884463293743,23
51,115,0.037750101171573965,113
50,87,0.053167755950411094,75
49,140,0.0441444382848031,133
48,139,0.05562601645430644,130
47,210,0.04219125141667552,191
46,178,0.036547796535821624,154
45,54,0.04232807794133072,37
44,1206,0.025752907088342294,1202
43,152,0.02396273885513372,11
42,609,,
41,70,0.006594396498033839,4
40,1,,
39,3,,
38,1,,
37,7,,
36,27,,
35,3,0.07787209636282055,1
34,13,0.32680723306828463,8
33,16,0.44088023276081245,4
32,11,0.0909681956432304,8
31,54,0.020920944991161344,27
30,9,,
29,9,0.10882844323020557,6
28,4,,
27,13,0.16938877595665142,5
26,6,,
25,67,0.2235364066406648,3
23,3,,
19,1,,
16,1,,
