Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,53,0.30165141340615287,52
55,146,0.022174765989299173,142
54,75,0.07466097218240952,59
53,34,0.01235115140812312,30
52,24,0.0067846387436220745,21
51,120,0.009976825530320359,116
50,81,1637232.8000086576,72
49,139,0.23173175762520112,129
48,141,2.269837488272484,128
47,217,0.8640961280167921,196
46,173,0.2713239266920408,154
45,52,0.8022953669008885,35
44,1219,0.39576878997157927,1213
43,141,0.30609315812506405,11
42,604,,
41,75,0.19580947384363273,4
40,1,,
39,3,,
37,6,0.17347856250457394,5
36,27,0.4392247374188533,25
35,6,0.36288166566685287,2
34,11,0.40290693772823677,7
33,18,3.413486107753495,5
32,11,0.6603057265749451,9
31,55,0.9211914985138931,29
30,7,,
29,8,0.32818369159514027,5
28,5,,
27,12,0.08426937972103787,4
26,7,,
25,67,0.709632860746458,3
23,3,,
19,1,,
16,1,,
