Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,51,,
55,152,0.8306271641013545,147
54,71,0.8452023597748426,60
53,33,0.9210023620428377,30
52,25,0.8592554625826965,22
51,116,0.690256744197388,113
50,83,0.7621000787350704,71
49,141,0.7145416706731185,130
48,146,0.7298654166972176,134
47,212,0.8044791892800017,197
46,168,0.8275067804397876,150
45,60,0.8302770714823222,39
44,1200,0.6855541892346417,1198
43,156,0.768212105434774,11
42,601,,
41,78,0.39090679532977723,4
40,1,,
39,3,,
38,1,,
37,6,,
36,25,0.6435750456196966,24
35,7,0.8848969959006654,2
34,13,0.682642540308853,9
33,16,2.799903016996127,5
32,12,0.761475557456896,10
31,55,0.40321270598067166,30
30,6,,
29,9,0.7039167295190467,6
28,4,,
27,13,0.5793729137159255,5
26,6,,
25,67,1.092333248460904,3
23,3,,
19,1,,
16,1,,
