Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,47,0.41521739130434787,46
55,153,0.6072377622377622,143
54,71,0.6808928571428571,56
53,39,0.7453124999999999,32
52,25,0.8106707148189787,24
51,109,0.6787971653647956,108
50,92,0.7346478335644393,75
49,137,0.6820553761933653,130
48,149,0.7305846656037261,137
47,214,0.8181910739103724,202
46,162,0.8597560176694822,149
45,62,0.8268399409226467,40
44,1199,0.6666434246324993,1198
43,153,0.8053069632639256,8
42,609,0.6562073567588272,606
41,73,0.3745778509351577,4
40,1,,
39,2,,
38,2,0.6109451695546866,1
37,7,,
36,25,,
35,6,0.8715227886452378,2
34,13,0.6821623893742815,9
33,16,2.785771118958183,5
32,12,0.7085035635777699,10
31,56,0.3512883231152536,31
30,5,,
29,9,0.6168644093571166,6
28,4,,
27,12,0.39120583855281404,4
26,7,,
25,67,1.0231363146738361,3
23,3,,
19,1,,
16,1,,
