Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,48,,
55,145,0.621861313868613,137
54,76,0.6786363636363635,55
53,39,0.7537096774193547,31
52,25,0.8068755687368276,23
51,115,0.9051674745285556,113
50,87,0.9572288305722213,75
49,137,0.8748775911157958,130
48,149,0.9099101697788244,137
47,217,0.9882448658060566,205
46,155,1.0038160391395763,145
45,62,1.0219259902897466,36
44,1222,0.9649635212897633,1217
43,136,1.0212780910803656,10
42,603,0.9357688607909956,602
41,76,0.7789955203743905,3
40,2,1.1074167202619232,1
39,3,,
38,1,,
37,6,,
36,26,0.9124584261531058,25
35,6,1.1483589139562138,2
34,13,0.7855711476577083,9
33,16,3.0195207981747365,5
32,9,0.9885927803194426,7
31,52,0.8908648290805343,24
30,12,,
29,9,1.0726044208905743,6
28,4,,
27,13,0.8402687277260917,5
26,6,,
25,66,1.3617047174787997,2
24,1,,
23,3,,
19,1,,
16,1,,
