Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,50,,
55,150,0.9897145965761217,144
54,74,0.9345270529662539,60
53,32,1.051551340201605,29
52,24,1.0412587773618807,20
51,117,0.912083035122664,112
50,81,0.959760941435226,68
49,141,0.9121698871550273,127
48,149,0.9367272549295231,134
47,216,0.9918977018654342,201
46,170,1.0184119137372112,156
45,52,1.0333287762314092,37
44,1207,0.9818629964155177,1203
43,147,1.015618309089652,7
42,615,0.9486821514162731,611
41,67,0.7875033794361116,3
40,1,,
39,4,1.0428940717282085,3
38,1,,
37,6,,
36,28,0.9067733568449854,27
35,3,1.1544939455820171,1
34,13,0.7437713426450141,8
33,17,3.023019449521512,5
32,12,0.9457357819178166,10
31,52,0.906033845349528,27
30,9,,
29,9,1.0570613806213558,6
28,4,,
27,13,0.8127908047914687,5
26,6,,
25,66,1.324219572230429,2
24,1,,
23,3,,
19,1,,
16,1,,
