Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,47,,
55,146,0.3313565624569617,137
54,78,0.3615018155990147,57
53,39,0.4003056959980978,33
52,23,,
51,113,0.3387879836970362,111
50,90,0.33278327015841774,76
49,142,0.43398193452879735,136
48,140,0.5835949569597222,134
47,212,0.4061093623972499,197
46,169,0.4559006454300695,151
45,59,0.40091179683716466,39
44,1205,0.2495540812696538,1203
43,150,0.2670125521428073,10
42,607,0.25859540477363274,606
41,73,0.29915321092011204,4
40,1,,
39,3,,
37,7,0.09194420930651237,6
36,28,0.3620090968051577,27
35,4,0.2817141476037539,2
34,11,0.6869220632214867,7
33,18,3.6044139777434125,5
32,11,0.7036581743262577,9
31,53,0.24980284317580864,27
30,9,,
29,8,0.1958784813461749,5
28,5,,
27,12,0.4974052360370035,4
26,7,,
25,67,0.22272276901429644,3
23,3,,
19,1,,
16,1,,
