Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,48,,
55,152,0.3325694444444445,144
54,71,0.3542284108329075,57
53,32,0.3673147291879548,26
52,30,0.5735211657758709,23
51,117,0.340208491587766,115
50,81,0.33858100095843496,71
49,139,0.4096801008741922,128
48,147,0.5657781619599123,133
47,211,0.41620613333130513,195
46,170,0.4594076427573829,150
45,57,0.42365470928329035,36
44,1219,0.24373047993120656,1214
43,140,0.25815146071561074,11
42,613,,
41,65,0.3010200786652466,3
40,2,0.5792537419035816,1
39,3,,
38,1,,
37,7,,
36,25,,
35,6,0.27942388925057426,2
34,13,0.6988062966319875,9
33,14,5.664568356152309,3
32,12,0.7164876375637187,8
31,52,0.2780574306048389,25
30,11,,
29,7,0.18954621630626453,4
28,6,,
27,13,0.485673483741613,5
26,6,,
25,67,0.2216754446527676,3
23,3,,
19,1,,
16,1,,
