Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,51,0.4764,50
55,149,0.8381700750254022,143
54,74,0.8738120249467061,59
53,33,0.9293729899772208,29
52,27,0.8782179246282635,23
51,109,0.6916058972279565,107
50,93,0.7252608683551092,75
49,127,0.7091459272596705,120
48,155,0.7215026118834638,133
47,207,0.7976492426945169,191
46,174,0.8408633574592094,150
45,53,0.8214066604807587,32
44,1230,0.6750674678737593,1221
43,132,0.7805710802188068,10
42,620,0.6650677882548317,619
41,60,0.38376845659139563,4
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,0.8773174070368103,2
34,12,0.6247715691179673,8
33,17,2.797780441984664,5
32,11,0.7251845292351166,9
31,50,0.3681345165934211,24
30,12,,
29,8,0.444712385809081,5
28,5,,
27,13,0.45496950159132443,5
26,6,,
25,66,0.9062430418622378,2
24,1,,
23,3,,
19,1,,
16,1,,
