Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,55,1.037490412764988,54
55,149,0.1708746319578245,147
54,66,0.1449250800849897,55
53,40,0.2820214175525562,32
52,25,0.15987963051285511,24
51,114,0.19189576066341016,113
50,85,0.4263994692908595,73
49,139,0.22981289916095446,130
48,147,0.13190390981628958,135
47,210,0.075307443254279,196
46,175,0.0808539093092459,156
45,52,0.15886172217286518,37
44,1199,0.08172361015242216,1195
43,158,0.057819504760201444,10
42,604,0.0819371102918839,603
41,76,0.1795531791670288,4
40,1,,
39,3,,
38,1,,
37,6,,
36,24,0.12349722371780161,23
35,8,0.14983546660713215,2
34,13,0.542375644655312,9
33,16,2.410565943389518,5
32,12,0.3460199849964483,10
31,52,0.04059879100651884,27
30,9,,
29,8,0.26999272873407243,5
28,5,,
27,13,0.30537568095172873,5
26,6,,
25,67,0.6050612278278371,3
23,3,,
19,1,,
16,1,,
