Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,51,,
55,152,0.05380952380952383,147
54,68,0.017719298245614044,57
53,35,0.04517241379310344,29
52,28,0.12666666666666676,24
51,106,0.013619047619047621,105
50,91,0.025535211690140853,71
49,140,0.0341987646511628,129
48,148,0.0832756804444445,135
47,215,0.014389020298507502,201
46,168,0.00984425311688313,154
45,55,0.016315497105263196,38
44,1197,0.0031512342127303842,1194
43,160,0.0009090909090911117,11
42,614,,
41,65,0.0,4
40,1,,
39,2,,
38,2,0.0,1
37,7,,
36,26,,
35,5,2.220446049250313e-16,2
34,11,0.0018571471428571501,7
33,17,2.41768025,4
32,11,4.996003610813204e-16,8
31,56,2.5649980224098444e-16,29
30,7,,
29,8,7.327471962526033e-16,5
28,5,,
27,13,8.881784197001253e-17,5
26,6,,
25,66,5.551115123125783e-17,2
24,1,,
23,3,,
19,1,,
16,1,,
