Iteration,SampleCount,S_HZ_CON0_MAX,S_HZ_CON0_MAX_Weight
56,55,,
55,144,0.35257985909197975,143
54,69,0.33516202732924255,54
53,38,0.3585052914792734,29
52,26,0.5019104408260677,22
51,118,0.2840371566037994,115
50,85,0.39029184344206513,75
49,127,0.30446794377978337,120
48,159,0.3067831827079394,137
47,204,0.3383447863367405,192
46,176,0.3046203293787315,153
45,57,0.31100040377261057,39
44,1218,0.21208545286997416,1216
43,138,0.2851227347641716,11
42,602,,
41,77,0.12942488448998346,4
40,1,,
39,3,,
38,1,,
37,7,0.18463155817319277,2
36,21,,
35,10,,
34,13,,
33,16,,
32,12,0.13377526107872506,2
31,53,0.2035551955493582,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
