Iteration,SampleCount,S_HZ_CON0_MAX,S_HZ_CON0_MAX_Weight
56,54,0.7473762834267539,52
55,143,0.05876788120275288,139
54,73,0.043050022100572044,54
53,39,0.02522703533448745,30
52,25,0.04295660084599585,22
51,118,0.031148182233267718,115
50,80,0.04905836735881619,70
49,133,0.025480063421290004,121
48,159,0.0195503350386016,138
47,208,0.013040612095411524,197
46,176,0.010734576935259112,158
45,52,0.010874874707077672,39
44,1204,0.007253689203247659,1202
43,152,0.005501007261509498,11
42,613,,
41,65,0.003019890095359893,3
40,2,,
39,3,,
38,1,,
37,7,0.006444085463381044,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.006615194008865899,2
31,54,0.003515762835987087,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
