Iteration,SampleCount,S_HZ_CON0_MAX,S_HZ_CON0_MAX_Weight
56,53,0.4654230047801605,52
55,148,0.058372712781868695,144
54,67,0.01431358281770868,53
53,40,0.007599340459849375,30
52,22,0.06596615077007249,19
51,111,0.0106994815058924,105
50,93,491792.77878649323,73
49,138,2.9394373737238553,129
48,146,14.06372148533662,133
47,205,31.915276297664718,189
46,182,1208.4188875967109,156
45,48,181.3106785662455,33
44,1237,29.042069973243727,1229
43,123,392.9615317556877,9
42,609,95.03798749657109,607
41,71,60.26671806343278,3
40,2,,
39,3,,
38,1,,
37,7,19.519057126375813,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,55.92566618384099,2
31,53,71.78877068022412,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
