Iteration,SampleCount,S_HZ_CON0_MAX,S_HZ_CON0_MAX_Weight
56,54,0.6759457335362677,53
55,141,0.35229079349096676,138
54,79,0.3459575241866328,59
53,34,0.4043548889567228,30
52,24,0.4530657218754855,21
51,112,0.2759008993405341,108
50,92,0.3881190371568999,75
49,137,0.3044695982193167,130
48,143,0.3245264442293666,131
47,210,0.33796261209361617,192
46,176,0.3093388221259027,153
45,55,0.3086535958299789,37
44,1226,0.21289784814793494,1222
43,131,0.2855503287412648,10
42,602,0.22521086978163712,601
41,78,0.13140906634371186,4
40,1,,
39,3,,
38,1,,
37,7,0.1883296147709118,2
36,26,,
35,5,,
34,13,,
33,16,,
32,11,0.1735252933648055,1
31,54,0.20302956585523266,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
