Iteration,SampleCount,S_HZ_CON0_MAX,S_HZ_CON0_MAX_Weight
58,63,,
57,167,2.095660886665979,159
56,88,1.941423685571996,68
55,58,1.717425237242282,45
54,35,1.89231849134665,29
53,140,2.226882050142314,138
52,143,69391.86386430291,129
51,213,3.4595625824777088,197
50,203,2.6570901685822266,183
49,266,4.579824118004886,247
48,189,1.4079437577704381,170
47,62,1.49570555764702,45
46,1246,1.63050898839713,1242
45,144,1.20639711255295,11
44,599,1.5822772154645068,598
43,83,2.473154376474216,4
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,10,1.7402662721196367,2
38.0,27.0,,
37,8,,
36,17,,
35,22,,
34,14,2.5392455166696495,2
33,60,1.5156182649826364,27
32,9,,
31,16,,
30,11,,
29,18,,
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
