Iteration,SampleCount,S_HZ_CON0_MAX,S_HZ_CON0_MAX_Weight
56,49,,
55,145,0.09263878240771242,138
54,78,0.05966999418666612,58
53,35,0.09247547617632146,30
52,26,0.03997612991392805,23
51,118,0.06583130826970107,116
50,85,0.13261747057464326,76
49,134,0.07566252797236171,128
48,144,0.0958869779619966,130
47,207,0.04616583876714101,188
46,187,0.03647469173727873,160
45,51,0.0352036213986996,40
44,1206,0.03441601067054836,1205
43,149,0.04859084779600852,11
42,603,,
41,76,0.12366268107339307,4
40,1,,
39,3,,
38,1,,
37,7,0.0055406950304958125,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.05915187933915633,2
31,55,0.019639937715711087,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
