Iteration,SampleCount,S_HZ_CON0_MAX,S_HZ_CON0_MAX_Weight
56,55,0.5525777216792082,54
55,142,0.06486539818772018,140
54,76,0.03401684911899868,58
53,35,0.020630547337580667,30
52,25,0.0436079134595151,22
51,113,0.031199467856739976,110
50,91,0.03131907041727525,76
49,129,0.020135187738392436,123
48,152,0.0205823626947545,133
47,208,0.010564809068064746,192
46,175,0.0095034919835958,152
45,57,0.008510061305785318,38
44,1216,0.007031689889996731,1213
43,138,0.004764376730929824,8
42,615,0.005677469719398927,612
41,67,0.009767405463801282,4
40,1,,
39,3,,
38,1,,
37,7,0.011141568219418918,2
36,23,,
35,8,,
34,13,,
33,16,,
32,12,0.008381720294986517,2
31,54,0.003390125630576732,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
