Iteration,SampleCount,S_HZ_CON0_MAX,S_HZ_CON0_MAX_Weight
56,51,,
55,150,0.760693489876407,145
54,71,0.16371830226464648,58
53,35,0.14102082508550692,30
52,27,0.16947012721173557,24
51,115,0.3068215749962725,114
50,87,0.5288696754984961,76
49,132,0.20298453529933447,126
48,147,0.16761839826278496,131
47,204,0.16223362937125296,186
46,181,0.21027896181173547,152
45,54,0.161799386760406,35
44,1211,0.09346097322914325,1205
43,148,0.11039955693081693,10
42,614,0.06922420966094378,613
41,66,0.22963448143428078,4
40,1,,
39,3,,
38,1,,
37,7,0.04954296925924351,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.0270491571967999,2
31,55,0.04029564917283577,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
