Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,50,,
55,151,5.189335551308274e-16,145
54,71,4.77466574508209e-16,54
53,36,4.327118165696906e-15,29
52,26,1.6585454600612982e-14,22
51,125,9.786731610302486e-16,12
50,72,4.77237766130001e-05,53
49,136,0.00033322970448812175,122
48,154,0.00011666532229107567,121
47,207,0.02784161454579661,176
46,174,18.740103138313543,148
45,54,0.5685199494112467,24
44,1343,0.30175577549273397,44
43,15,0.20756554131124516,1
42,600,0.19772245556779144,599
41,79,,
40.0,1.0,,
39.0,2.0,,
38,2,0.1639775816862978,1
37,7,0.15533611850249598,5
36.0,28.0,,
35,3,,
34,12,0.5357809327615779,8
33,17,0.551329912232926,16
32,12,1.5022687029462636,3
31,53,1.0250787874695895,24
30,8,2.361573806176758,5
29,9,0.8612686200390507,8
28,4,,
27,11,0.3617414983469009,5
26,8,1.0448637460071715,6
25,65,0.2000348334921574,46
24.0,2.0,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
