P_MASS,P_RADIUS,P_GRAVITY,P_DENSITY,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST,P_ESCAPE,P_POTENTIAL,P_HILL_SPHERE,P_DISTANCE_EFF,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,P_TPERI,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_FLUX,P_TEMP_EQUIL,S_TEMPERATURE,S_MASS,S_RADIUS,S_AGE,S_LOG_G,S_RADIUS_EST,S_DISTANCE,S_MAG,S_METALLICITY,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_TYPE,S_TYPE_TEMP
6165.8633,0.07072633759875596,0.09474452169894901,-0.028374491457970313,0.083813263,12.082709,6165.8633,1.29,0.07707196584518945,0.05263483335735513,0.13067063,1.2987592,326.03,1.29,0.231,-0.04233127838909903,94.79999999999995,2452899.6,13.8,0.21788784410567463,1.3244177999999998,0.99201,1.58799,101.01141,799.44963,4742.0,2.7,19.0,0.33532038922656326,2.3100000000000005,19.0,93.37,4.74,-0.35,163.5468,10.132812,24.763411,12.834754,23.477907,13.586847,23.477907,12.390643,23.477907,34.529063,0.47646024000000003,0.64240028,Jovian,K
4684.7848,0.04297389715502578,0.044691379874968615,-0.016954099092640385,0.082414476,12.229641,4684.7848,1.53,0.009960208904260474,0.06194387158174826,0.16755064,1.5312267000000002,516.21997,1.53,0.08,-0.08652829741160045,0.6949983491231382,1.5359029064555327,12.2,0.17027482419012357,1.534896,1.4076000000000002,1.6524,107.35118,819.07569,4213.0,2.78,29.79,0.17013953117300878,1.93,29.79,125.72,5.016,-0.019999999999999934,250.49294,12.770059,31.984271,16.17528,30.323783,17.134143,30.323783,15.615215,30.323783,42.732816,0.19389083,0.6486833200000001,Jovian,K
0.04372355998022304,0.08246170089681111,0.09293937969776228,0.020035255539482162,0.081917127,12.848516000000002,1525.5744,0.83,0.05043163493042624,0.03559639548087915,0.073485255,0.8300000200000001,185.84,0.83,0.0,-0.05310498585318898,0.0,2452861.4,11.0,0.2109237973496281,0.83,0.83,0.83,84.44642700000001,772.30746,4813.0,2.2,11.000000000000002,0.25103385368701925,2.63,11.000000000000002,75.59,5.227,-0.24,58.175144,6.0252302,14.680086999999999,7.6318669,13.918028,8.078404,13.918028,7.367779600000001,13.918028,20.593611,0.50275224,0.60001028,Jovian,G
1481.0785000000003,0.052095567085418654,0.036703358231734415,0.05728775121047354,0.14524062,12.865261,1481.0785,2.9299999999999997,0.03154468160860172,0.01651882647976712,0.21799100000000002,2.9825498,1773.4,2.9299999999999997,0.37,-0.061582417227906805,0.6216744616135322,-0.6664627798874178,163.0,0.17139851968024394,3.1305585,1.8458999999999999,4.0141,0.078886561,131.38424,5338.0,0.9,0.93,0.12124140612192695,4.45,0.93,17.94,6.61,0.41,0.62917118,0.61059549,1.4579131,0.77340372,1.3822336,0.81817864,1.3822336,0.74661526,1.3822336,2.1416484,0.9197558300000002,0.44541547000000004,Jovian,K
565.73385,0.01584111461972078,-0.0629063724154172,-0.004383969095926356,0.36862709,13.421749000000002,565.73385,1.66,0.010680580711642938,-0.05927274329432648,0.042832433,1.7748696,798.5,1.66,0.68,-0.1471795915494908,0.6338167399114971,1.110086435245492,78.5,0.14934184363886366,2.043792,0.5312,2.7887999999999997,0.61897215,202.22783,5750.0,1.08,1.13,0.15243911819421846,4.359999999999999,1.13,21.15,6.249999999999999,0.05999999999999998,1.2505956,0.8406574,1.9820503,1.0647976,1.8791638,1.1259913,1.8791638,1.0278615,1.8791638,3.019411,1.9836585,0.47332457000000006,Jovian,G
0.11700702922165052,0.04143191865350235,0.09271331721420314,0.011077508681527024,0.21617437,12.424038,3273.6284,2.6,0.04687785373642151,0.049637106390443296,0.26914123,2.6020847,993.3000000000001,2.6,0.08,-0.08068947415336739,166.10000000000002,2451672.0,34.0,0.19287731327208382,2.60832,2.392,2.808,5.9039479,396.65045,4979.0,2.3,8.5,0.27195816776897297,2.82,8.5,76.38,5.506,-0.051999999999999935,39.782769,4.9452691,11.966497,6.263915600000001,11.345312,6.6291433,11.345312,6.0471267,11.345312,17.029868,0.67864811,0.60896698,Jovian,G
2542.624,0.07074356133158674,0.04015304993217735,0.0073809762014099,0.1538597558382735,12.56295,2542.624,330.0,0.049407404036046994,0.04511184192544387,47.561283,330.00001,-0.01462927113583009,330.0,0.22051432195060333,-0.16029999604694609,0.4482221156774195,-43.39272089285124,2280.0,0.12820380621674593,330.00000000000006,330.0,330.0,-0.01459234416757263,-0.08466659795957553,4060.0,0.8500000000000001,-0.01869603591050408,0.005,0.7065617837154383,0.0638678494683215,145.0,0.5720754292449428,1.0318993064377713,-0.07457212279958254,0.08190800453361566,0.07437267992318183,0.08141671478516362,0.0744142903832567,0.07998095925287815,0.07441429038325675,0.08122301028766908,0.07441429038325635,0.07723351624522981,0.10042903,0.14012839,Jovian,K
289.22348,0.16094429275156577,0.08074840562377912,0.07163642944622636,0.065684936,13.823874,289.22348,0.19,0.07886249541494804,0.04308713674807672,0.012081025,0.19004195,30.3506,0.19,0.042,0.6387009770759483,210.0,2450008.6,1.97,0.29679445678798805,0.19016758,0.18202,0.19798,1611.9403,1613.7579,4893.0,0.99,10.64,6.92,2.42,10.64,96.25,5.579999999999999,-0.77,58.139697,6.0021326,14.574833000000002,7.6026009,13.818243000000002,8.0466759,13.818243000000002,7.3395091,13.818243000000002,20.587336,0.4420258000000001,0.49217654999999993,Jovian,G
632.47773,0.15055344245691815,0.08074840562377912,0.039463635802864765,0.17730446,13.35605,632.47773,1.333,0.10661617648463591,0.06231156745200923,0.090191357,1.3343533,452.8,1.333,0.09,0.5986405389816869,9.199999999999992,2454762.0,18.5,0.2435388735285934,1.3383987,1.21303,1.45297,8.2108078,430.60546,5098.0,1.5400000000000003,4.9,2.7,3.499999999999999,4.9,72.21,6.440999999999999,-0.02999999999999999,14.530485999999998,2.9714593,7.1568809,3.7637846,6.7853671,3.9827067,6.7853671,3.6334963,6.7853671,10.292096,0.72838944,0.48748251,Jovian,K
273.33208,0.14343385320297355,0.08074840562377912,0.028636349577208002,0.2724776,13.858291,273.33208,2.08,0.11545295370996143,0.06145747784884165,0.083016328,2.1024946,883.0,2.08,0.29,0.5980098454532329,220.5,2454930.0,28.8,0.21634557141986027,2.167464,1.4768,2.6832,3.5093722,343.04216,5098.0,1.5400000000000003,4.9,2.7,3.499999999999999,4.9,72.21,6.440999999999999,-0.02999999999999999,14.530485999999998,2.9714593,7.1568809,3.7637846,6.7853671,3.9827067,6.7853671,3.6334963,6.7853671,10.292096,0.72838944,0.48748251,Jovian,K
7786.7861,0.10393849576619989,0.029665501083028643,-0.0178577846341392,0.26162547536582537,11.959258999999998,7786.7861,51.99999999999999,0.14504621362753048,0.08391266471738326,13.992264,52.000001000000005,0.12258159273191672,51.99999999999999,0.44827956517714446,-0.26547926306603475,0.44281565986547766,-40.43919441848722,1440.0,0.1964553181435364,52.0,52.0,52.00000000000001,-0.01238439233997217,-0.009107986216320694,3530.0,0.4,0.0704627481454766,0.12000000000000001,0.7888560049265207,0.08333967678695008,36.0,14.24,0.8199272938226998,-0.029072796366446736,0.08795768086840532,0.08119029476052707,0.08681779415133142,0.08118948236049667,0.08642304979694962,0.08118948236049617,0.08707249263711984,0.08118948236049665,0.08440605305653501,0.031426578,0.18511504000000004,Jovian,M
4417.8092,16.1424,16.953944,1.0502741,0.056530021,16.1424,4417.8092,156.0,16.543196,273.67735,53.43772,156.0,0.0029794396834197123,156.0,0.21805425876793058,0.3551422645370301,0.4655502179786896,-43.2745895801586,3960.0,0.30122136514805864,156.0,156.0,156.0,2.5439616e-07,5.7216666,3064.0,0.11,0.28,0.035,4.59,0.28,39.4,0.8072803398246569,0.6849584204244417,0.0061909849999999995,0.064653815,0.17132776,0.081892193,0.16242892,0.086858303,0.16242892,0.079039709,0.16242892,0.2124436,0.0091773442,0.098031817,Jovian,M
2383.7099999999996,0.08231289825465835,0.048839528558799916,0.0545753073639743,0.23048511368863128,12.598676,2383.71,15.000000000000002,0.11503634577927155,0.082359101405314,7.3838744,15.0,0.02182633384869913,15.000000000000002,0.17540774690179706,0.122886966701602,0.47735157387829424,-44.389940447208815,107.0,0.2582139034690212,15.0,15.0,14.999999999999998,0.014225634633359963,-0.01546890072322352,0.020228174410114822,0.02,0.03128805109608472,0.001,0.7109941575360689,0.06757448168693461,140.0,0.6352814960104565,1.0784837456374727,-0.028549627713334025,0.07471122729211549,0.06649331568170283,0.0736868056421295,0.06655763463803357,0.07247207319112435,0.06655763463803385,0.07376814652232325,0.06655763463803392,0.06920582970769362,0.02888606905827685,0.030706817000000004,Jovian,M
1271.312,0.10569850416498838,0.048850285890195355,0.07550324653311534,0.24664630884205144,12.952003,1271.312,46.0,0.10714946242862079,0.06393894184857385,18.363288,46.000001000000005,0.022866817122980374,46.0,0.1356014172310812,0.09535475271629135,0.48166007224151003,-44.62494974783332,714.0,0.2584152787299403,46.00000000000001,46.0,46.0,0.00875921839013677,0.02010857609615965,0.05316837806131104,0.02,0.01980379721291663,0.008,0.7673474535217197,0.06756609189852672,64.42,20.15,0.9895119017551205,-0.03382373157173957,0.07638269901875924,0.0689197285271454,0.075538869972276,0.06894350537876515,0.0743567953860683,0.06894350537876448,0.07564317031111174,0.06894350537876513,0.07172459086272182,0.005711333866997827,0.043425998,Jovian,M
603.87321,0.08388939738533197,0.005945190710568315,0.052028535483087376,0.13634621453899487,13.383276,603.87321,0.92,0.03869415314963243,0.03233408100579748,0.099343902,0.92000002,416.0,0.92,0.11016787472529022,0.4842137162894657,0.4870400599189061,-30.711500163471218,2.3,0.1044334341877815,0.92,0.92,0.92,-0.03463761184434838,-0.0279925030799609,0.07425583340335937,0.48,-0.05344613351169776,-0.004245947804768252,0.5841407387910614,0.0527681003230519,400.77,12.264,1.1936200969713493,-0.05609613599798757,0.07395426511292119,0.06558914163193119,0.07279903139587791,0.06566552459590966,0.07174360944219475,0.0656655245959106,0.07296517570201877,0.06566552459591087,0.06827557014315241,0.04773171900332327,0.36121425,Jovian,O
