P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_TEMP_MEASURED,P_GEO_ALBEDO,P_GEO_ALBEDO_ERROR_MIN,P_GEO_ALBEDO_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,P_DETECTION_RADIUS,P_ALT_NAMES,P_ATMOSPHERE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_DISC,S_MAGNETIC_FIELD,S_LOG_G,S_ALT_NAMES,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
2MASS J01225093-2439505 b,3.0,7786.7861,-794.57001,794.57001,,,,2013,2014-05-14,,,,52.0,-6.0,6.0,,,,,,,,,,,,,1440.0,,,,,,,,Imaging,,,,,2MASS J01225093-2439505,20.712243,-24.664049,14.24,36.0,-4.0,4.0,,,,0.4,-0.05,0.05,,,,M3.5 V,0.12,-0.01,0.01,3530.0,-50.0,50.0,,,,",",,,,,13.992264,52.0,52.0,52.0,52.000001,,,,,,,Jovian,,M,1.3808163,01 22 50.9386,-24 39 50.5764,,,,,,,,,,,0.031426578,0.18511504,0,0,,0,,Cetus,Cet,Whale,11.959259,7786.7861,52.0
2MASS J02192210-3925225 b,3.0,4417.8092,-349.6108,349.6108,16.1424,-0.3363,0.3363,2015,2015-05-14,,,,156.0,-10.0,10.0,,,,,,,,,,,,,3960.0,,,,,,,,Imaging,,,,,2MASS J02192210-3925225,34.842106,-39.422928,,39.4,-2.6,2.6,,,,0.11,-0.01,0.01,0.28,-0.01,0.01,M6,0.035,-0.005,0.005,3064.0,-76.0,76.0,,,4.59,",",16.543196,273.67735,16.953944,1.0502741,53.43772,156.0,156.0,156.0,156.0,2.5439616e-07,2.5439616e-07,2.5439616e-07,5.7216666,5.7216666,5.7216666,Jovian,0.28,M,2.3228072,02 19 22.1059,-39 25 22.5408,0.006190985,0.064653815,0.17132776,0.081892193,0.16242892,0.086858303,0.16242892,0.079039709,0.16242892,0.2124436,0.0091773442,0.098031817,0,0,Cold,0,0.056530021,Fornax,For,Furnace,16.1424,4417.8092,156.0
2MASS J04414489+2301513 b,3.0,2383.71,-794.57001,794.57001,,,,2010,2014-05-14,,,,15.0,,,,,,,,,,,,,,,107.0,,,,,,,,Imaging,,,,,2MASS J04414489+2301513,70.437073,23.030941,,140.0,,,,,,0.02,,,,,,M8.5,0.001,,,,,,,,,",",,,,,7.3838744,15.0,15.0,15.0,15.0,,,,,,,Jovian,,M,4.6958051,04 41 44.8984,+23 01 51.3876,,,,,,,,,,,,0.030706817,0,0,,0,,Taurus,Tau,Bull,12.598676,2383.71,15.0
2MASS J12073346-3932539 b,3.0,1271.312,-317.828,317.828,,,,2004,2014-05-14,,,,46.0,-5.0,5.0,,,,,,,,,,,,,714.0,,,,,,,,Imaging,,,,,2MASS J12073346-3932539,181.88945,-39.548332,20.15,64.42,-0.65,0.65,,,,0.02,,,,,,M8,0.008,-0.003,0.004,,,,,,,",",,,,,18.363288,46.0,46.0,46.0,46.000001,,,,,,,Jovian,,M,12.125964,12 07 33.4696,-39 32 53.9952,,,,,,,,,,,,0.043425998,0,0,,0,,Centaurus,Cen,Centaur,12.952003,1271.312,46.0
2MASS J19383260+4603591 b,3.0,603.87321,-31.7828,31.7828,,,,2015,2015-06-04,416.0,-2.0,2.0,0.92,-0.02,0.02,,,,,,,,,,,,,2.3,,,,,,,,Eclipse Timing Variations,,,,,2MASS J19383260+4603591,294.63587,46.066418,12.264,400.77,-6.48,6.48,,,,0.48,-0.03,0.03,,,,,,,,,,,,,,",",,,,,0.099343902,0.92,0.92,0.92,0.92000002,,,,,,,Jovian,,,19.642392,19 38 32.6113,+46 03 59.1048,,,,,,,,,,,,0.36121425,0,0,,0,,Cygnus,Cyg,Swan,13.383276,603.87321,0.92
2MASS J21402931+1625183 A b,3.0,6658.4967,-6658.4967,26630.808,10.3132,-4.0356,4.3719,2009,2014-05-14,7336.5,-584.0,1934.5,,,,0.26,-0.06,0.06,46.2,-8.7,2.5,223.0,-47.0,10.0,,,,,,,,,,,,Imaging,,,,,2MASS J21402931+1625183 A,325.12216,16.421759,,25.0,-10.0,10.0,,,,0.08,-0.06,0.06,0.12,-0.04,0.05,M8.5,,,,2300.0,-80.0,80.0,,,,",",25.409222,645.62858,62.602158,6.0701002,1.0287533,3.2908045,2.3555768,4.010847,3.2107268,3.690033e-05,2.2443485e-05,6.5068073e-05,19.598998,17.535473,22.881627,Jovian,0.12,M,21.674812,21 40 29.3222,+16 25 18.3324,0.00036104595,0.015701147,0.04246522,0.019887033,0.040258767,0.021100899,0.040258767,0.019192148,0.040258767,0.051303266,0.002221171,0.19878386,0,0,Cold,0,0.084157251,Pegasus,Peg,Winged Horse,10.3132,6658.4967,3.1832119
2MASS J22362452+4751425 b,3.0,3972.85,-476.742,476.742,,,,2016,2016-11-10,,,,230.0,-20.0,20.0,,,,,,,,,,,,,3110.0,,,,,,,,Imaging,,,,,2MASS J22362452+4751425,339.1022,47.86182,12.51,74.0,-10.0,10.0,,,,0.6,-0.05,0.05,,,,K7 V,0.12,-0.01,0.01,4045.0,-35.0,35.0,,,,",",,,,,43.201288,230.0,230.0,230.0,230.00001,,,,,,,Jovian,,K,22.606815,22 36 24.5330,+47 51 42.5520,,,,,,,,,,,0.087145494,0.21190382,0,0,,0,,Lacerta,Lac,Lizard,12.318663,3972.85,230.0
30 Ari B b,3.0,4392.383,-572.09041,572.09041,,,,2009,2018-09-06,335.10001,-2.5,2.5,0.99,-0.02,0.02,0.29,-0.09,0.09,,,,,,,,,,22.1,,,,,,,,Radial Velocity,,,,,30 Ari B,39.240585,24.648064,6.962,44.71,-0.1,0.1,0.19,,,1.93,-0.27,0.27,1.41,-0.05,0.05,F6 V,,,,6331.0,-61.0,61.0,,,4.43,"HD 16232, HIP 12184",,,,,0.092482534,1.0316295,0.7029,1.2771,1.0007066,3.050856,1.7545523,5.7920065,331.24213,293.21521,395.23206,Jovian,1.41,F,2.6160391,02 36 57.7409,+24 38 53.0304,2.8616474,1.22761,2.8573528,1.5548965,2.709031,1.6434699,2.709031,1.5008232,2.709031,4.5674293,6.531395,0.57438563,0,0,Hot,0,0.30089651,Aries,Ari,Ram,12.26437,4392.383,0.99
4 UMa b,3.0,2256.5788,-508.5248,508.5248,,,,2006,2014-05-14,269.3,-1.96,1.96,0.87,-0.04,0.04,0.432,-0.024,0.024,,,,23.81,-4.42,4.42,2452987.4,-4.31,4.31,11.8,,,,,,,,Radial Velocity,,,,,4 UMa,130.05341,64.327934,4.61,73.58,-1.18,1.18,-0.25,-0.04,0.04,1.23,-0.15,0.15,18.11,-1.47,1.47,K1 III,4.604,-2.0,2.0,4415.0,-70.0,70.0,,,1.8,"HD 73108, HIP 42527",,,,,0.060511038,0.95118144,0.49416,1.24584,0.8916605,163.55514,71.932282,457.20735,877.01545,741.9521,1178.0757,Jovian,18.11,K,8.6702275,08 40 12.8191,+64 19 40.5624,111.64734,8.4740879,21.019604,10.733757,19.928398,11.367229,19.928398,10.362264,19.928398,28.529093,0.20903862,0.49436657,0,0,Hot,0,0.076992961,Ursa Major,UMa,Big Bear,12.629095,2256.5788,0.87
42 Dra b,3.0,1233.1727,-270.1538,270.1538,,,,2008,2014-05-14,479.1,-6.2,6.2,1.19,-0.01,0.01,0.38,-0.06,0.06,,,,218.7,-10.6,10.6,2452757.4,-3.7,3.7,13.1,,,,,,,,Radial Velocity,,,,,42 Dra,276.4964,65.563484,4.82,90.86,-1.32,1.32,-0.46,-0.05,0.05,0.98,-0.05,0.05,22.03,-1.0,1.0,K1.5 III,9.49,-1.76,1.76,4200.0,-70.0,70.0,,,1.71,"HD 170693, HIP 90344",,,,,0.079675195,1.275918,0.7378,1.6422,1.2125726,103.29647,50.172149,248.56358,789.07763,678.04823,1011.5894,Jovian,22.03,K,18.433094,18 25 59.1392,+65 33 48.5424,135.3053,9.3887017,23.530144,11.892261,22.308555,12.59743,22.308555,11.48048,22.308555,31.406618,0.13394243,0.51702463,0,0,Hot,0,0.07908401,Draco,Dra,Dragon,12.969374,1233.1727,1.19
47 UMa b,3.0,804.10485,-19.06968,22.24796,,,,1996,2014-05-14,1078.0,-2.0,2.0,2.1,-0.02,0.02,0.032,-0.014,0.014,,,,334.0,-23.0,23.0,2451917.0,-76.0,63.0,152.0,,,,,,,,Radial Velocity,,,,,47 UMa,164.86656,40.430256,5.05,13.8,-0.03,0.03,0.0,-0.07,0.07,1.03,-0.05,0.05,1.23,,,G0 V,7.3,-1.9,1.9,5892.0,-70.0,70.0,,,4.27,"HD 95128, HIP 53721",,,,,0.18722838,2.1010752,2.0328,2.1672,2.1002691,0.37062414,0.34781783,0.39533068,198.7444,195.65136,202.01566,Jovian,1.23,G,10.991105,10 59 27.9769,+40 25 48.9216,1.6336154,0.95260292,2.2377652,1.2065859,2.121605,1.2757677,2.121605,1.1647064,2.121605,3.4509501,2.4920312,0.50318118,1,1,Warm,0,0.31106267,Ursa Major,UMa,Big Bear,13.215704,804.10485,2.1
47 UMa c,3.0,171.62712,-23.201444,20.976648,,,,2001,2014-05-14,2391.0,-87.0,100.0,3.6,-0.1,0.1,0.098,-0.096,0.047,,,,295.0,-160.0,114.0,2452441.0,-825.0,628.0,261.0,,,,,,,,Radial Velocity,,,,,47 UMa,164.86656,40.430256,5.05,13.8,-0.03,0.03,0.0,-0.07,0.07,1.03,-0.05,0.05,1.23,,,G0 V,7.3,-1.9,1.9,5892.0,-70.0,70.0,,,4.27,"HD 95128, HIP 53721",,,,,0.17873536,3.6172872,3.2472,3.9528,3.6043355,0.12666026,0.10455388,0.15492865,151.71194,144.8705,159.83719,Jovian,1.23,G,10.991105,10 59 27.9769,+40 25 48.9216,1.6336154,0.95260292,2.2377652,1.2065859,2.121605,1.2757677,2.121605,1.1647064,2.121605,3.4509501,2.4920312,0.50318118,0,0,Cold,0,0.17714066,Ursa Major,UMa,Big Bear,14.144978,171.62712,3.6
47 UMa d,3.0,521.23792,-152.55744,92.170121,,,,2009,2014-05-14,14002.0,-5095.0,4018.0,11.6,-2.9,2.1,0.16,-0.16,0.09,,,,110.0,-160.0,132.0,2451736.0,-5051.0,6783.0,840.0,,,,,,,,Radial Velocity,,,,,47 UMa,164.86656,40.430256,5.05,13.8,-0.03,0.03,0.0,-0.07,0.07,1.03,-0.05,0.05,1.23,,,G0 V,7.3,-1.9,1.9,5892.0,-70.0,70.0,,,4.27,"HD 95128, HIP 53721",,,,,0.77670377,11.74848,9.744,13.456,11.637436,0.01229887,0.0090223125,0.017205816,84.431345,78.518931,92.270681,Jovian,1.23,G,10.991105,10 59 27.9769,+40 25 48.9216,1.6336154,0.95260292,2.2377652,1.2065859,2.121605,1.2757677,2.121605,1.1647064,2.121605,3.4509501,2.4920312,0.50318118,0,0,Cold,0,0.079493064,Ursa Major,UMa,Big Bear,13.470213,521.23792,11.6
51 Eri b,3.0,,,,,,,2015,2019-07-11,11688.0,-3287.25,6209.25,12.0,-2.0,4.0,0.45,-0.15,0.1,133.0,-7.0,14.0,87.0,-30.0,34.0,2455563.0,-1826.0,5844.0,408.0,,,,,,,,Imaging,,,,,51 Eri,69.400551,-2.473548,5.23,29.4,-0.3,0.3,-0.027,-0.045,0.045,1.75,-0.05,0.05,,,,F0 IV,0.02,-0.006,0.006,,,,,,,"HD 29391, HIP 21547",,,,,,13.215,6.6,17.4,12.326111,,,,,,,,,F,4.6267036,04 37 36.1331,-02 28 24.7728,,,,,,,,,,,,0.2245997,0,0,,0,,Eridanus,Eri,River,0.0,0.0,12.0
51 Peg b,3.0,150.01482,-12.395292,12.395292,,,,1995,2014-05-14,4.230785,-3.6e-05,3.6e-05,0.0527,-0.003,0.003,0.013,-0.012,0.012,,,,58.0,,,2450001.5,-0.61,0.61,3.41,,,,,,,,Radial Velocity,,,,,51 Peg,344.36658,20.768833,5.5,15.47,-0.03,0.03,0.2,-0.07,0.07,1.12,-0.06,0.06,1.2,,,G2.5 IV,4.0,-2.5,2.5,5793.0,-70.0,70.0,,,4.33,"HD 217014, HIP 113357",,,,,0.0026620631,0.052704453,0.0520149,0.0533851,0.05270112,523.21565,509.8297,537.04381,1218.432,1210.6015,1226.4429,Jovian,1.2,G,22.957773,22 57 27.9828,+20 46 07.7988,1.4529988,0.903798,2.1284757,1.1447717,2.0179884,1.2105146,2.0179884,1.1050544,2.0179884,3.2545908,2.1617961,0.46806645,0,0,Hot,0,0.065394653,Pegasus,Peg,Winged Horse,14.228992,150.01482,0.0527
55 Cnc b,3.0,263.98794,-1.0488324,1.0488324,,,,1996,2014-10-29,14.65152,-0.00015,0.00015,0.115227,-1e-06,1e-06,0.0034,-0.0032,0.0032,90.0,,,98.0,-53.0,53.0,,,,9.15,,,,,,,,Radial Velocity,,,,,55 Cnc,133.14922,28.330818,5.96,12.59,-0.01,0.01,0.31,-0.04,0.04,0.91,-0.01,0.01,0.94,-0.01,0.01,G8 V,10.2,-2.5,2.5,5196.0,-24.0,24.0,,,4.45,"HD 75732, HIP 43587",,,,,0.0076039848,0.11522767,0.11483523,0.11561877,0.11522717,43.462522,43.168228,43.759328,654.14301,653.03426,655.25836,Jovian,0.94,G,8.8766149,08 52 35.8135,+28 19 50.9448,0.57705994,0.58921014,1.4139437,0.74631864,1.3405462,0.78964408,1.3405462,0.72047826,1.3405462,2.0510405,0.72330826,0.51051127,0,0,Hot,0,0.088599759,Cancer,Cnc,Crab,13.879517,263.98794,0.115227
