Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,50,85.94349397456364,48
55,165,79.32163090287428,21
54,63,107.27167021428126,11
53,33,63.77333394587073,5
52,25,205.91964553698347,1
51,125,143.72125925362502,2
50,75,98.46191159904248,51
49,137,116.06158860382834,99
48,145,109.65166321041413,92
47,230,106.70652493511699,20
46,171,114.92592568824219,27
45,41,139.7169670574214,3
44,1343,,
43,12,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,,
37,6,117.34679924116072,3
36,29,,
35,2,,
34,14,109.06077039904554,9
33,14,94.71367733197269,13
32,13,62.99197057096716,2
31,54,69.72745975874258,24
30,8,70.91530827149732,5
29,9,131.2754084206851,2
28,4,,
27,13,39.71369598257053,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
