Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,49,97.57604166666668,48
55,160,107.77960000000002,16
54,68,169.28,11
53,31,69.66666666666667,3
52,27,103.70000000000003,1
51,125,104.5,2
50,74,192.92579996,50
49,140,153.93720792079208,101
48,146,138.5778,95
47,226,121.28994736842105,19
46,172,114.68629629629629,27
45,42,170.525,4
44,1343,103.0,1
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,,
37,7,96.81849999999993,4
36,28,,
35,3,,
34,11,178.1115714285714,7
33,17,98.57428571428571,14
32,13,127.13333333333333,3
31,52,121.71973913043479,23
30,9,95.40000000000003,5
29,9,253.485,2
28,4,,
27,13,55.50000000000003,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
