Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,51,89.35683609865815,50
55,161,83.31266006465111,19
54,64,108.03441431012598,10
53,33,65.1966530447068,4
52,26,113.16280873962972,1
51,125,97.17220997994838,2
50,75,97.92467582068782,51
49,137,112.05447538189676,99
48,149,120.75999279812993,96
47,224,93.84715787958282,18
46,172,98.30509759239479,26
45,42,142.5781303617876,3
44,1344,196.52608259095,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,93.57342193718688,4
36,28,,
35,3,,
34,11,96.11934261007855,7
33,15,107.10379361721847,12
32,15,54.9569881165318,3
31,52,82.24266232591438,23
30,9,64.8059339470591,5
29,9,154.8959087158555,2
28,4,,
27,12,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
