Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,47,115.81750342538601,46
55,164,98.0212101885387,18
54,66,118.47450921890749,11
53,33,80.50446013762591,5
52,25,262.53843516046516,1
51,125,109.47157414938587,2
50,75,113.77222735487543,51
49,132,120.63873877674148,94
48,157,119.9035729367368,99
47,223,72.9746817459249,20
46,168,95.90700882915456,24
45,44,129.51081376115016,3
44,1344,139.18247453067622,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,77.09691170041499,3
36,29,,
35,3,,
34,12,107.5585513010946,8
33,16,111.43974949659251,14
32,13,69.476064054744,3
31,56,88.60789232267165,27
30,4,,
29,10,121.59070528287572,2
28,4,,
27,13,142.49000133525055,1
26,6,,
25,67,,
23,3,,
18,1,,
16,1,,
