Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,48,90.12000000000002,47
55,166,83.00210370370371,21
54,63,87.86811804101622,11
53,33,67.0977167340781,5
52,25,117.27262506801097,1
51,125,97.0,2
50,78,103.08623168193293,54
49,132,106.12614056891319,97
48,144,114.55007139830583,89
47,229,103.58097792235229,16
46,174,115.0056225460426,26
45,43,139.535,4
44,1343,211.20788152606258,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,91.906,4
36,28,,
35,3,,
34,13,95.68239363361837,9
33,16,125.7185691219042,15
32,12,52.31885480362394,3
31,54,72.21917013255961,25
30,6,34.422179066198396,4
29,9,190.5582231724333,1
28,5,,
27,13,59.03302090616077,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
