Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,52,86.2582,50
55,160,121.75146666666667,18
54,64,108.51777777777777,9
53,35,107.8,5
52,25,157.3,1
51,125,97.0,2
50,77,127.6130377735849,53
49,132,138.95586458333332,96
48,152,123.41041254166667,96
47,224,126.27011122222221,18
46,170,105.46291666666667,24
45,45,139.93249999999998,4
44,1343,330.00000000000006,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,111.456,4
36,28,,
35,1,,
34,14,158.735,8
33,16,119.00685714285716,14
32,12,145.5,2
31,56,132.4823076923077,26
30,6,115.36000000000003,5
29,9,149.925,2
28,4,,
27,13,88.4999999999999,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
