Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,52,84.5380612244898,49
55,160,80.09161071428572,17
54,66,94.641,10
53,33,55.99999999999997,4
52,26,103.50293611773458,1
51,124,161.4994084458351,1
50,78,109.41084061790679,53
49,131,100.76322435538813,95
48,161,108.29858114413545,104
47,217,104.14896278097565,19
46,171,112.19087234778274,26
45,42,112.95723982577529,3
44,1344,221.85500396807487,1
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,,
37,7,91.906,4
36,28,,
35,3,,
34,12,95.28119637526446,8
33,14,113.81275675112397,12
32,15,48.74123548625523,3
31,51,68.86341059554144,22
30,10,36.12230264833205,5
29,9,139.485,2
28,4,,
27,12,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
