Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,50,85.55776356426674,48
55,164,103.52043635596401,20
54,62,101.77587554612668,9
53,34,53.05090976785161,4
52,26,137.47216338830546,1
51,125,96.70695010863201,2
50,75,99.43300854230806,51
49,136,116.70143181774422,98
48,150,114.50035862336668,96
47,226,94.69629154128639,20
46,170,95.05755881973852,26
45,40,32.93268265051911,1
44,1346,173.58095927640463,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,83.17684811163494,4
36,28,,
35,3,,
34,12,119.48500504251298,8
33,15,93.84363701645185,13
32,13,70.77396444019584,2
31,55,91.09832423153442,25
30,7,77.78937936617649,5
29,9,212.94581303437812,2
28,4,,
27,13,3.890272822390642,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
