Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,50,82.27836734693878,49
55,163,78.69707,20
54,62,97.1352302891933,9
53,35,66.55990302344851,5
52,25,114.62610506791924,1
51,125,97.0,2
50,77,108.41460107380846,53
49,131,102.61991337787892,95
48,152,105.81964426034456,95
47,227,106.1449138401036,20
46,169,112.66077751955955,25
45,44,139.535,4
44,1343,214.5235917934886,1
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,,
37,5,117.50575283584625,2
36,30,,
35,2,,
34,13,93.44169485602136,8
33,14,120.95086224701697,12
32,15,51.19217266409563,3
31,55,68.77049154009389,26
30,6,40.57621947367097,5
29,9,139.485,2
28,4,,
27,13,62.42432369246136,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
