Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,49,112.53705370796919,47
55,165,89.87070028153002,20
54,63,114.41656913515179,10
53,34,65.0529427566046,5
52,25,84.86283269105417,1
51,125,95.07329252423699,2
50,76,108.51561423989826,52
49,143,112.37777444444357,106
48,139,115.96947849066426,93
47,227,71.94218279074052,18
46,171,87.82449355444906,25
45,42,102.99482642185492,2
44,1345,213.25560918061814,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,5,189.9837001115837,2
36,30,,
35,3,,
34,12,135.09356587541882,8
33,16,104.89196785114592,14
32,11,7.44738538740711,1
31,54,85.84912196028002,23
30,8,71.32186886971806,4
29,10,111.35820444032096,2
28,4,,
27,13,107.06491679218806,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
