Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,54,90.6549099051506,53
55,159,98.07384614428176,20
54,63,102.92887833927092,10
53,33,64.28547856855282,4
52,26,140.44268412810516,1
51,125,97.29906084173618,2
50,75,103.05502935973973,51
49,140,122.80303748228717,102
48,141,123.26603102874266,91
47,232,110.28514581369274,21
46,166,102.65993273357749,23
45,46,153.1670082956846,4
44,1343,191.74411876554362,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,74.37238243816353,3
36,29,,
35,3,,
34,12,126.74444478150068,8
33,14,127.74509456689027,12
32,14,105.2304265120251,2
31,51,79.27491111092806,21
30,11,41.13061245230508,5
29,9,189.61008836719623,2
28,4,,
27,12,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
