Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,51,90.46935377233133,50
55,157,99.51914588264346,15
54,69,114.46322691720766,11
53,33,48.54024298462494,5
52,25,163.24730207700674,1
51,125,95.48728603991742,2
50,74,99.85998953994084,50
49,140,119.16172202433351,101
48,148,135.13199973872943,97
47,225,104.55624574213552,20
46,169,112.59390338296816,25
45,42,167.43008547694092,2
44,1345,192.73526074644684,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,5,65.27197043082388,2
36,30,,
35,2,,
34,14,118.47885229798388,9
33,15,105.8743178942614,14
32,12,119.24660856721488,2
31,52,74.09231290546336,22
30,10,113.82083273937936,5
29,9,195.88442334250988,2
28,4,,
27,13,104.78569380555291,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
