Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,54,91.05127388899425,53
55,158,137.14907807075775,19
54,63,112.32212008523757,9
53,33,103.97973003563634,3
52,27,121.79917115226314,1
51,125,97.42874871078047,2
50,76,98.93538145034458,52
49,136,110.06570011110408,99
48,144,120.17607002808013,91
47,231,120.9009561518827,20
46,169,124.93210007528468,25
45,42,88.55225920041538,2
44,1345,147.1167649220026,1
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,,
37,7,88.08982949763686,4
36,28,,
35,3,,
34,12,116.18895717173251,8
33,17,85.45345210477691,15
32,12,86.62670000241992,3
31,54,79.05200574095444,25
30,5,98.82908183087348,3
29,10,21.444822048440194,1
28,5,,
27,13,48.28005753616918,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
