Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,49,82.74800077211604,47
55,165,1972.6075703736271,20
54,63,30920.196365928434,10
53,34,2468.9114641188644,5
52,25,1392.4659496538338,1
51,125,12757.179333433509,2
50,76,151844473521.2472,52
49,134,173103.232225471,97
48,154,54955966.08183761,99
47,222,632766.7797356924,19
46,168,313862.8281191797,23
45,45,310210.56540931936,3
44,1344,309121.3562648607,1
43,11,,
42,675,,
41,4,,
39,3,308739.34120619454,2
38,2,,
37,7,308612.0078576184,4
36,28,,
35,2,,
34,14,308076.8446328902,9
33,15,307287.73796798335,14
32,13,305908.8701097787,3
31,53,305607.2692053746,24
30,8,303455.29412358184,5
29,9,306111.1488177811,2
28,4,,
27,12,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
