Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,51,106.68371418345085,50
55,161,72.60314879742346,19
54,63,109.6161043045159,9
53,35,74.981528563544,5
52,25,162.18534386455238,1
51,125,94.68768383661268,2
50,76,90.52391006783168,52
49,137,115.4937429752416,100
48,145,118.7341151846688,93
47,226,91.77768080808355,17
46,174,91.43655274994586,27
45,40,152.4502527865189,2
44,1345,196.1449693326882,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,92.71958671487937,4
36,28,,
35,3,,
34,11,113.22015944335405,7
33,14,94.4784793092973,11
32,16,59.10857001163949,3
31,54,74.69753050677751,25
30,7,31.20782079868751,5
29,9,151.24313889151435,2
28,4,,
27,13,21.3626031743008,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
