Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,49,91.47007205256544,48
55,165,945.3430375246646,21
54,62,5558.751138797849,10
53,33,194.95700239762664,4
52,26,212.8951565593481,1
51,125,248.8583890348673,2
50,74,121572987069.91942,50
49,141,4534.875044606359,102
48,142,32380.684055621427,92
47,231,29860.493544579225,21
46,167,9406.685010792959,24
45,44,11398.835651100902,3
44,1344,11629.401159543217,1
43,11,,
42,675,,
41,4,,
39,4,12342.83986821926,3
38,1,,
37,7,11131.763683393841,4
36,28,,
35,1,,
34,13,8936.303553828164,7
33,17,11835.804867814384,14
32,13,10727.942540005135,3
31,54,13390.94282461118,25
30,6,17441.852899623,4
29,10,8283.890255400127,2
28,4,,
27,13,3420.551458628385,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
